Index,NDPI,NDBI,NORMALIZED_NDBI,NORMALIZED_VV,NORMALIZED_VH,RBR_NDBI,RBR_VV,RBR_VH,Burn_Classification
401,0.9999999999989796,0.6610169491519822,0.2601880877494458,0.02617801,-0.3442623,1.7033898300693513,1.053763440859082,0.4878048780475907,Burned
402,0.2639999999997888,0.20610687022885033,0.6172388602400835,0.29508197,0.14285715,4.2251908310349435,1.8372093023213087,1.3333333333299144,Burned
403,0.220338983050723,0.48965517241345546,0.3209720288138072,0.08,-0.19565217,1.945386765303506,1.1739130434769849,0.6727272727260496,Burned
404,-0.11764705882341407,-0.1509433962262727,-1.0,-0.64705884,-0.2278481,0.0,0.21428571428561224,0.628865979380795,Burned
405,-0.04761904761900983,0.025641025641003724,-1.0,0.3043478,-0.63461536,0.0,1.8749999999941405,0.22352941176461824,Burned
406,0.38888888888834877,-0.20634920634904258,0.45689655188533357,-0.25373134,-0.12643678,2.6825396860263284,0.5952380952373866,0.7755102040808413,Burned
407,0.4399999999997486,0.29896907216479435,-0.046000545993256876,-0.11888112,-0.087248325,0.9120448907565196,0.7874999999995079,0.8395061728384697,Burned
408,-0.06666666666661729,-0.05263157894732885,-1.0,-0.03076923,0.1570248,0.0,0.9402985074612831,1.3725490196051517,Burned
409,0.5789473684200369,0.49999999999916667,-0.2233009708569376,-0.5212766,-0.0625,0.6349206348393486,0.31468531468509464,0.8823529411712804,Burned
410,-0.405940594059004,-0.38775510204042063,1.0,-0.5081967,0.1724138,0.0,0.3260869565213847,1.4166666666637153,Burned
411,-0.5602094240834764,-0.5602094240834764,1.0,-0.50877196,0.45365855,0.0,0.3255813953485849,2.6607142857095343,Burned
412,0.26903553299478733,0.3297872340423778,-0.0928041691595421,-0.34210527,-0.2716763,0.8301540716910362,0.49019607843118035,0.5727272727267521,Burned
413,-0.1155778894471781,0.0057142857142824495,-1.0,0.1891892,-0.016949153,0.0,1.466666666664222,0.9666666666655925,Burned
414,0.05785123966937367,0.04918032786881214,-1.0,-0.29281768,-0.6221498,0.0,0.5470085470080794,0.232931726907537,Burned
415,-0.31034482758593934,0.1764705882350346,-1.0,0.6,-0.25333333,0.0,3.99999999996,0.5957446808497963,Burned
416,-0.4044444444442647,-0.399103139013274,-1.0,-0.4765625,0.38666666,0.0,0.35449735449716696,2.2608695652141146,Burned
417,-0.3333333333329502,-0.2658227848097901,1.0,-0.04918033,0.369863,0.0,0.9062499999971679,2.173913043468809,Burned
418,0.5533980582521586,0.3675213675212105,-0.2549504950236152,0.022364218,0.34545454,0.5936883628232891,1.0457516339862447,2.0555555555498457,Burned
419,-0.5973154362412099,-0.6590909090905347,0.13725490197252757,-0.3877551,-0.16571428,1.3181818184451903,0.44117647058758647,0.7156862745094531,Burned
420,-0.44897959183650565,-0.3898305084743561,-0.3679690854742451,0.5652174,-0.18,0.46202134343201334,3.599999999976,0.6949152542368956,Burned
421,-0.645283018867681,-0.5877192982453563,1.0,-0.33333334,0.7487923,0.0,0.4999999999994681,6.961538461511687,Burned
422,0.21052631578928901,0.25454545454522315,-1.0,0.36633664,-0.28695652,0.0,2.1562499999932614,0.5540540540533053,Burned
423,-0.11475409836046761,0.038461538461464495,-0.7163814178291398,-0.68235296,-0.5614035,0.16524216517092574,0.1888111888110568,0.28089887640417877,Burned
424,0.5987460815045145,0.5361445783130916,0.003960158406878784,0.7525773,0.75,1.0079518070412619,7.083333333313657,6.999999999936364,Burned
425,0.4017094017090584,0.13888888888879244,-1.0,0.006134969,-0.5212355,0.0,1.0123456790110958,0.31472081218258136,Burned
426,-0.06909090909088397,0.036437246963548005,-0.8019249629993204,-0.30245233,-0.0041841003,0.10992413156278236,0.5355648535562613,0.9916666666658402,Burned
427,-0.1234567901233806,0.1007751937983715,-0.2100326263451346,-0.0955414,-0.041322313,0.6528479941843476,0.8255813953478772,0.9206349206334593,Burned
428,0.4112149532708359,0.38532110091725447,-0.1762005544272407,-0.25615764,-0.04964539,0.7003902882805104,0.5921568627448659,0.9054054054041819,Burned
429,0.3092783505153045,0.4941176470585329,1.0,-0.0729927,-0.5497382,0.0,0.8639455782307048,0.2905405405403442,Burned
430,-0.14655172413786788,0.010204081632647856,-1.0,0.36551723,-0.122171946,0.0,2.1521739130387996,0.7822580645154982,Burned
431,-0.18604651162769065,0.06060606060596878,-0.7756153404404783,-0.6111111,-0.24390244,0.1263700837904158,0.24137931034466115,0.6078431372537101,Burned
432,-0.11475409836062439,-0.0091743119266027,-1.0,0.64467007,0.7553192,0.0,4.628571428558204,7.173913043447071,Burned
433,0.16923076923068245,0.6170212765953071,0.23707059265279942,0.1875,-0.12903225,1.6214745171397382,1.4615384615365878,0.7714285714263673,Burned
434,0.25619834710733214,0.17374517374510667,-1.0,0.6344086,0.06467662,0.0,4.470588235280968,1.1382978723392145,Burned
435,0.9999999999994351,0.631336405529663,1.0,0.7184466,-0.08045977,0.0,6.103448275841023,0.8510638297854233,Burned
436,0.6384180790956846,0.8012422360243471,1.0,0.3809524,-0.8117647,0.0,2.230769230765799,0.10389610389603644,Burned
437,0.03999999999998769,0.1155115511550774,-1.0,0.2851711,-0.22766571,0.0,1.7978723404236192,0.6291079812203619,Burned
438,0.04761904761897203,0.9999999999969696,0.35353535351042814,-0.5,-1.0,2.0937499995568385,0.33333333333299664,0.0,Burned
439,-0.8690476190471018,-0.8482758620683806,1.0,-0.61403507,0.52272725,0.0,0.23913043478208884,3.190476190468594,Burned
440,-0.903225806450156,-0.9016393442608169,1.0,-0.95555556,-0.1007752,0.0,0.022727272727255513,0.8169014084495536,Burned
441,0.0852017937219349,0.09999999999995456,-0.46788990813190035,0.5316456,0.65,0.362499999869054,3.2702702702614315,4.714285714263266,Burned
442,0.37853107344611386,0.41860465116254736,1.0,0.3189189,-0.20634921,0.0,1.9365079365048625,0.6578947368412396,Burned
443,0.2063492063488788,0.8536585365832837,1.0,-0.05,-0.88235295,0.0,0.9047619047597505,0.06249999999986979,Burned
444,-0.33050847457613114,-0.357723577235627,-1.0,-0.22167487,0.67,0.0,0.6370967741930346,5.060606060590725,Burned
445,-0.04651162790696323,0.06493506493504385,-0.6352723913266394,0.034700315,0.2631579,0.22303783165689695,1.0718954248359007,1.7142857142836734,Burned
446,-0.3170731707314495,0.0,-0.9999999997752476,-0.592233,-0.2,0.0,0.2560975609754536,0.6666666666656085,Burned
